drawNo,date,isSweepDay,d1st,d2nd,d3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
5527,26 Aug 2026,false,1564,2169,8947,2412,2588,3480,5552,6607,7357,7639,7988,9178,9933,1195,1445,2039,2929,4022,4765,6114,6303,6581,7490
5526,23 Aug 2026,false,9675,0618,6753,0502,0901,2969,4384,5973,6157,7562,7890,8603,8884,1967,2236,3225,3413,4527,5627,6266,7007,7317,9579
5525,22 Aug 2026,false,3001,4915,3711,0226,1598,2038,2451,2876,4933,5330,7936,8213,9054,0369,0378,2443,2603,4222,5636,6924,7922,8003,8846
5524,19 Aug 2026,false,4478,1440,2761,1203,1292,4195,4475,4500,4786,6237,7679,8181,9297,0909,0940,1115,1323,7670,8127,8485,9267,9563,9796
5523,16 Aug 2026,false,6149,9898,9521,0379,0427,1151,1425,2809,6187,6532,6963,7379,7941,0580,1452,4451,5403,5489,6376,7405,7532,9696,9697
5522,15 Aug 2026,false,6714,5661,9919,0030,0608,0996,5099,5127,8239,8842,9593,9748,9898,0022,1471,2673,4101,4163,5518,6709,7848,7996,8287
5521,12 Aug 2026,false,2375,2490,6546,0047,0498,0640,0832,1505,2487,4702,6103,6804,7305,0942,1035,1161,2482,3845,4395,4643,5261,5825,7456
5520,09 Aug 2026,false,7137,7072,7256,0827,1048,2003,3477,3561,5711,6471,7098,8484,8670,0740,3223,3245,5245,6992,7935,8023,8788,8977,9646
5519,08 Aug 2026,false,5102,1128,6050,0164,0427,3437,4097,4259,5284,6139,7399,7584,9146,0221,1138,1747,2834,4710,5280,5849,6338,6892,7406
5518,05 Aug 2026,true,0715,0901,5730,2093,3317,4188,4305,5910,6717,6786,8903,9201,9807,1833,4070,4685,6299,7535,7673,7943,8292,8766,9530
5517,02 Aug 2026,false,3052,7038,2268,0051,0766,2875,5068,6347,6367,7934,8842,8955,9857,0179,0962,1071,1448,1823,2571,2908,4025,5864,7278
5516,01 Aug 2026,false,5964,0462,0631,2182,2596,2869,3167,5565,5739,5843,6308,7502,9040,0267,1692,4108,5810,6750,8001,8632,8675,9562,9955
5515,29 Jul 2026,false,8813,1641,0173,1237,1382,1591,2643,4038,4074,4799,5033,6846,8758,0089,1350,2960,3596,3831,5645,7554,7624,8346,9512
5514,26 Jul 2026,false,6431,2067,4836,3337,4586,4883,5773,6170,6689,9238,9415,9728,9811,0389,0766,1136,2220,2636,3769,3792,4567,5597,9627
5513,25 Jul 2026,false,5131,4814,3970,1546,1612,1794,1980,3106,3647,4760,5762,6538,7224,0932,1077,3977,4522,6473,6948,7116,8558,8590,8965
5512,22 Jul 2026,false,9662,3225,7544,1364,2097,2546,2818,2969,4379,5379,7327,8595,9097,1696,1717,3134,3296,3798,5984,6141,7488,8200,9376
5511,19 Jul 2026,false,0647,3250,3008,0596,1322,2515,4393,5376,7102,8029,8111,8482,9738,0329,0546,1694,1810,2350,2353,2609,4051,4958,7608
5510,18 Jul 2026,false,9418,2993,1965,0519,1044,1621,5437,5567,6457,7264,8319,9033,9811,0507,1808,2945,3930,4116,4730,5454,5896,6314,6861
5509,15 Jul 2026,false,4087,2897,7004,0246,0595,0834,0909,0950,1943,3684,3915,4241,5762,0137,2351,2729,2855,4591,5237,5280,6900,7090,7932
5508,12 Jul 2026,false,2329,7120,6791,0637,1621,1713,5916,6097,6313,7652,7971,9168,9356,0695,2561,2959,3241,3835,3838,7476,8462,8690,9537
5507,11 Jul 2026,false,6452,8387,0786,0874,1263,1491,1942,3610,3623,3910,4751,5011,9051,0160,0161,3292,3549,3561,4010,5147,9434,9856,9924
5506,08 Jul 2026,false,5701,3264,8354,0381,1268,1616,2669,3921,4805,4849,4906,6797,8968,0028,0868,1272,1540,3172,4527,5974,6035,8300,8856
5505,05 Jul 2026,false,0629,0710,2094,1155,1752,3787,4413,5156,5225,7513,8331,8516,9313,1963,2573,2868,3314,3710,4628,4924,5568,5926,9707
5504,04 Jul 2026,false,4230,1610,2014,0006,0598,0607,2189,2902,3228,3733,3847,3950,7643,1464,1826,2013,4717,6799,7071,7537,8303,9167,9659
5503,01 Jul 2026,true,6428,6234,9596,0927,4561,5664,6543,7638,7680,7902,8886,9796,9818,0707,1242,1722,2534,3674,4828,7927,8506,9180,9386
5502,28 Jun 2026,false,1563,5604,3531,0131,1203,3915,4718,4788,4867,5473,7149,9414,9893,0503,1353,1564,1592,1638,1948,2562,5897,7971,9763
5501,27 Jun 2026,false,5286,7885,2103,1092,3142,4964,6094,6299,6936,7299,9006,9310,9706,1122,1713,1940,3972,4330,4937,5950,7218,8149,8474
5500,24 Jun 2026,false,5950,2916,1793,0398,0733,1847,2323,3258,4347,4683,6302,8801,9756,1939,2196,2645,2847,4532,5395,6654,6718,8255,8838
5499,21 Jun 2026,false,0257,3416,9162,2763,3432,4071,5291,5347,5680,6957,7789,9092,9725,1885,2213,2706,2730,4267,4731,7957,8910,8986,9296
5498,20 Jun 2026,false,9954,2614,6272,0324,0327,1364,1835,3726,3800,5816,6608,6989,9564,0062,0219,0445,4693,6118,6424,7552,8286,8663,8916
5497,17 Jun 2026,false,4505,3831,8219,1111,1389,2071,2658,4249,6510,6515,6663,7412,7776,0374,2255,2426,3022,3066,3334,6065,6322,8999,9964
5496,14 Jun 2026,false,4048,6689,6318,0405,1210,3160,4345,4433,6088,8476,9291,9397,9750,0669,0949,2086,2251,3185,4202,7003,7035,8627,9339
5495,13 Jun 2026,false,5478,8081,6943,0136,0376,1350,3478,5827,6189,6812,7436,8039,8665,0625,1007,1545,2122,2241,3671,5055,5315,9378,9949
5494,10 Jun 2026,false,1622,2601,2553,1046,5822,5970,6293,7177,7415,8931,9046,9106,9435,0173,2225,2903,3014,4175,6341,6672,7434,7543,8414
5493,07 Jun 2026,false,0735,1094,9296,0247,1076,1440,1700,2146,2385,2839,9001,9316,9936,0910,1166,4591,5178,5193,5754,7638,7878,8297,8473
5492,06 Jun 2026,false,5974,0196,4220,0546,0940,2056,2419,4371,4638,6146,7680,9420,9554,0014,0313,0465,0871,4063,4866,6153,8059,9076,9178
5491,03 Jun 2026,true,2414,8613,2868,0126,0171,0949,1212,1375,2292,2354,3121,8707,8834,0637,3753,4160,4542,5459,5865,6360,6572,8376,9038
5490,31 May 2026,false,1869,7776,8675,1332,2810,3424,5533,5536,6648,7367,8915,9392,9851,0564,1041,2266,3995,4402,8424,8596,8811,9732,9937
5489,30 May 2026,false,9806,9130,4930,0802,1076,2124,3375,4025,5959,7425,8498,8560,8899,0326,0376,0590,0592,1039,2055,2677,5658,7365,7709
5488,27 May 2026,false,1516,6093,1415,0334,0727,0846,1723,2143,3741,6599,7281,7883,9716,0508,1858,4099,4216,4368,7116,7122,8107,8924,9681
5487,24 May 2026,false,7758,5499,2847,2668,3546,3745,3787,5918,6392,7101,7874,7953,8473,0015,2893,3509,3799,4044,5266,6454,7232,7884,8732
5486,23 May 2026,false,2176,3757,1899,0443,1461,2376,4794,4885,5414,6840,6858,8600,9074,1521,2063,2127,2904,3368,6264,6351,6697,7515,8994
5485,20 May 2026,false,7699,9517,8945,1117,2873,3075,3722,5479,5720,7057,8567,8736,8812,0582,0706,2066,2314,2937,4355,4683,7416,9345,9442
5484,17 May 2026,false,0368,8885,4558,0777,1776,4532,5227,6823,7075,8441,8802,9205,9672,1871,2337,2662,3287,3608,5711,5975,6381,9826,9897
5483,16 May 2026,false,2735,5857,5182,2692,2805,5208,5291,6670,7746,8571,8886,9635,9893,2274,2834,3287,3678,4908,5814,5862,7216,9071,9608
5482,13 May 2026,false,0672,0496,6465,1457,2132,3540,6166,6847,7733,7865,8087,8229,9026,0391,1374,1527,1663,2359,3819,5008,5031,7646,8003
5481,10 May 2026,false,7517,1486,4814,0047,0081,0327,0431,2259,2585,5535,6906,7976,9624,0017,0738,1079,2171,2441,2679,2994,4979,6948,8281
5480,09 May 2026,false,5479,5740,3253,0157,1221,1350,2482,3017,3072,4379,5946,9690,9929,0816,1716,1805,2203,2587,3337,3669,4878,5828,8521
5479,06 May 2026,true,3361,1192,8197,0759,1263,2669,3707,5141,6043,6446,6795,8773,8992,1585,1612,2778,3062,4651,6123,7092,8016,8395,9696
5478,03 May 2026,false,6303,5282,6943,0773,1703,3869,4550,4899,7136,8197,8810,9048,9907,1036,1247,1559,1637,2195,2691,3379,8204,9629,9812
5477,02 May 2026,false,2300,8464,4803,0705,0855,1297,1337,2506,2660,6208,6677,6989,9480,0642,0907,1349,2588,3481,4359,4511,5027,5868,6017
5476,29 Apr 2026,false,1167,5729,8464,2694,5273,6515,7008,7567,7893,9323,9427,9443,9746,0412,1066,4192,4551,6935,8335,8380,8896,8934,9312
5475,26 Apr 2026,false,7937,5970,6226,0392,0537,1395,4297,5365,6662,7226,7387,7618,9496,0897,2492,4036,4736,7069,7273,8977,9351,9398,9777
5474,25 Apr 2026,false,9950,0006,6097,0483,1787,3326,5002,5025,5247,5798,6447,7643,8180,4515,5834,7938,8487,8508,8627,8628,8916,9424,9728
5473,22 Apr 2026,false,2791,3887,9327,0806,1279,1572,1880,1995,4427,5147,6500,7198,8835,1495,1597,2043,4436,5645,5992,7546,9726,9889,9927
5472,19 Apr 2026,false,9815,9216,5414,1010,1281,2866,6678,7426,7506,7862,8447,9359,9423,3369,5400,6102,6526,6670,6881,9197,9221,9248,9445
5471,18 Apr 2026,false,8953,0097,3609,2269,3127,5808,8236,8716,8799,9218,9490,9738,9811,1791,2091,2581,2858,3176,3503,4887,5993,6619,8230
5470,15 Apr 2026,false,3873,4136,3072,0036,0313,1471,3713,3749,4502,5125,7647,7846,8981,1927,2196,3334,3868,4546,5295,6303,7138,7501,8160
5469,12 Apr 2026,false,2218,7083,9689,1175,1219,2128,2636,3209,3346,5433,5928,7175,7289,3231,3777,4251,4919,5341,5658,5941,6907,8660,8962
5468,11 Apr 2026,false,8025,4905,8453,0046,0079,0462,2911,4197,6501,7602,9039,9608,9789,0135,1508,1975,2635,2739,5138,5441,6399,8838,8960
5467,08 Apr 2026,false,7195,3618,0981,0690,1003,2783,3040,6981,7066,7333,8422,9654,9903,1498,2877,5563,5708,6278,7415,7749,7804,8824,8959
5466,05 Apr 2026,false,8866,0481,1289,0374,0990,1151,1723,4274,4397,5021,6166,6969,9606,0618,0703,2365,2635,3107,3264,4862,4964,5175,8753
5465,04 Apr 2026,false,7752,4724,4036,0060,0228,3161,4052,4115,4838,6112,7981,8416,9834,0519,0760,1912,3668,4820,4986,6434,8263,8907,9153
5464,01 Apr 2026,true,4450,0618,6737,0687,1092,1236,3723,3913,5002,6418,7977,8240,8912,0459,5045,5048,5752,5959,5991,6006,6021,6426,8270
5463,29 Mar 2026,false,2069,3432,6460,3067,5534,5571,6387,6704,7180,8143,8270,9704,9861,0108,0274,1223,1754,4293,6178,7396,9123,9361,9602
5462,28 Mar 2026,false,8750,3957,0444,0197,0205,1556,4091,4596,7159,8360,8612,9036,9710,0237,0478,1738,1841,2716,3015,3959,8030,9264,9903
5461,25 Mar 2026,false,2729,7229,2863,1171,1245,3789,4773,5448,6016,7877,8176,8965,9184,1061,1401,2400,5730,6375,6701,7061,7313,8011,9423
5460,22 Mar 2026,false,8649,5289,9294,0277,1339,2592,5108,5223,6046,7821,8860,9683,9791,0000,1145,1592,2421,2908,3788,3943,6978,7047,9240
5459,21 Mar 2026,false,0143,8717,2977,0220,3505,3661,5006,5126,6010,7114,7245,7272,9358,0299,1287,3212,3845,4055,7067,8438,9263,9380,9460
